Created Date,Descriptor,Incident Zip,City,Community Board,Borough
4/26/10,Other Water Problem (Use Comments) (QZZ),11358,City-Flushing,11 QUEENS,Borough-QUEENS
5/2/10,Taste/Odor: Chemical (QA2),11358,City-Flushing,11 QUEENS,Borough-QUEENS
9/7/16,Cloudy Or Milky Water (QB1),11217,City-BROOKLYN,06 BROOKLYN,Borough-BROOKLYN
5/3/10,Other Water Problem (Use Comments) (QZZ),11225,City-BROOKLYN,09 BROOKLYN,Borough-BROOKLYN
10/12/16,Clear Water With Other Particles (Use Comments) (QEZ),11231,City-BROOKLYN,06 BROOKLYN,Borough-BROOKLYN
5/4/10,Defective Water Sampling Station (QSS),11377,City-Woodside,02 QUEENS,Borough-QUEENS
5/4/10,Taste/Odor: Chemical (QA2),10035,City-NEW YORK,11 MANHATTAN,Borough-MANHATTAN
5/4/10,Cloudy Or Milky Water (QB1),10016,City-NEW YORK,06 MANHATTAN,Borough-MANHATTAN
5/8/10,Other Water Problem (Use Comments) (QZZ),10021,City-NEW YORK,08 MANHATTAN,Borough-MANHATTAN
5/11/10,Taste/Odor: Chlorine (QA1),10308,City-STATEN ISLAND,03 STATEN ISLAND,Borough-STATEN ISLAND
1/5/10,Clear Water With Other Particles (Use Comments) (QEZ),10027,City-NEW YORK,10 MANHATTAN,Borough-MANHATTAN
5/19/10,Taste/Odor: Chlorine (QA1),11215,City-BROOKLYN,06 BROOKLYN,Borough-BROOKLYN
9/11/16,Taste/Odor: Chlorine (QA1),11694,City-Rockaway Park,14 QUEENS,Borough-QUEENS
8/18/16,Cloudy Or Milky Water (QB1),10016,City-NEW YORK,06 MANHATTAN,Borough-MANHATTAN
6/4/10,Taste/Odor: Chemical (QA2),10027,City-NEW YORK,10 MANHATTAN,Borough-MANHATTAN
1/25/10,Taste/Odor: Bitter/Metallic (QA3),11368,City-Corona,04 QUEENS,Borough-QUEENS
6/14/10,Taste/Odor: Chemical (QA2),11226,City-BROOKLYN,14 BROOKLYN,Borough-BROOKLYN
6/17/10,Taste/Odor: Chemical (QA2),11103,City-Astoria,01 QUEENS,Borough-QUEENS
8/26/16,Other Water Problem (Use Comments) (QZZ),10034,City-NEW YORK,12 MANHATTAN,Borough-MANHATTAN
6/23/10,Cloudy Or Milky Water (QB1),11234,City-BROOKLYN,18 BROOKLYN,Borough-BROOKLYN
8/24/10,Other Water Problem (Use Comments) (QZZ),10471,City-BRONX,08 BRONX,Borough-BRONX
8/28/10,Taste/Odor: Chemical (QA2),11105,City-Astoria,01 QUEENS,Borough-QUEENS
6/24/10,Cloudy Or Milky Water (QB1),11693,City-Far Rockaway,14 QUEENS,Borough-QUEENS
6/25/10,Taste/Odor: Chemical (QA2),11420,City-South Ozone Park,10 QUEENS,Borough-QUEENS
3/5/10,Taste/Odor: Musty/Stale (QA4),11106,City-Astoria,01 QUEENS,Borough-QUEENS
6/29/10,Taste/Odor: Sewer (QA5),10031,City-NEW YORK,09 MANHATTAN,Borough-MANHATTAN
6/29/10,Taste/Odor: Sewer (QA5),10031,City-NEW YORK,09 MANHATTAN,Borough-MANHATTAN
3/12/10,Cloudy Or Milky: Other (Use Comments) (QBZ),10451,City-BRONX,04 BRONX,Borough-BRONX
7/25/10,Taste/Odor: Chlorine (QA1),10467,City-BRONX,07 BRONX,Borough-BRONX
3/26/10,Oil: Grease In Water (QD1),11104,City-Sunnyside,02 QUEENS,Borough-QUEENS
3/28/10,Clear Water With Other Particles (Use Comments) (QEZ),11356,City-College Point,07 QUEENS,Borough-QUEENS
8/2/10,Taste/Odor: Bitter/Metallic (QA3),10028,City-NEW YORK,08 MANHATTAN,Borough-MANHATTAN
11/17/10,Taste/Odor: Musty/Stale (QA4),10465,City-BRONX,10 BRONX,Borough-BRONX
9/2/10,Other Water Problem (Use Comments) (QZZ),10065,City-NEW YORK,08 MANHATTAN,Borough-MANHATTAN
9/26/10,Taste/Odor: Musty/Stale (QA4),11228,City-BROOKLYN,10 BROOKLYN,Borough-BROOKLYN
5/3/10,Taste/Odor: Musty/Stale (QA4),11228,City-BROOKLYN,10 BROOKLYN,Borough-BROOKLYN
5/3/10,Other Water Problem (Use Comments) (QZZ),10013,City-NEW YORK,02 MANHATTAN,Borough-MANHATTAN
5/3/10,Clear Water With Other Particles (Use Comments) (QEZ),10305,City-STATEN ISLAND,02 STATEN ISLAND,Borough-STATEN ISLAND
8/19/16,Taste/Odor: Sewer (QA5),11236,City-BROOKLYN,18 BROOKLYN,Borough-BROOKLYN
9/13/16,Taste/Odor: Sewer (QA5),11236,City-BROOKLYN,18 BROOKLYN,Borough-BROOKLYN
10/19/10,Taste/Odor: Musty/Stale (QA4),11357,City-Whitestone,07 QUEENS,Borough-QUEENS
10/20/10,Other Water Problem (Use Comments) (QZZ),10019,City-NEW YORK,04 MANHATTAN,Borough-MANHATTAN
5/19/10,Taste/Odor: Chlorine (QA1),11210,City-BROOKLYN,14 BROOKLYN,Borough-BROOKLYN
9/27/16,Taste/Odor: Sewer (QA5),11370,City-East Elmhurst,03 QUEENS,Borough-QUEENS
9/27/16,Taste/Odor: Sewer (QA5),10031,City-NEW YORK,09 MANHATTAN,Borough-MANHATTAN
10/3/16,Clear Water With Other Particles (Use Comments) (QEZ),10462,City-BRONX,11 BRONX,Borough-BRONX
11/9/10,Taste/Odor: Musty/Stale (QA4),11203,City-BROOKLYN,17 BROOKLYN,Borough-BROOKLYN
6/27/16,unknown odor/taste in drinking water (QA6),10027,City-NEW YORK,Unspecified MANHATTAN,Borough-MANHATTAN
4/3/10,Taste/Odor: Chlorine (QA1),11106,City-Astoria,01 QUEENS,Borough-QUEENS
7/10/16,Clear Water With Other Particles (Use Comments) (QEZ),11232,City-BROOKLYN,Unspecified BROOKLYN,Borough-BROOKLYN
7/15/16,Taste/Odor: Chemical (QA2),11234,City-BROOKLYN,18 BROOKLYN,Borough-BROOKLYN
1/31/12,Cloudy Or Milky: Other (Use Comments) (QBZ),11201,City-BROOKLYN,06 BROOKLYN,Borough-BROOKLYN
2/1/12,Cloudy Or Milky Water (QB1),11101,City-Long Island City,02 QUEENS,Borough-QUEENS
2/2/12,Cloudy Or Milky Water (QB1),10453,City-BRONX,05 BRONX,Borough-BRONX
2/2/12,Other Water Problem (Use Comments) (QZZ),10463,City-BRONX,08 BRONX,Borough-BRONX
7/1/10,Cloudy Or Milky Water (QB1),11106,City-Astoria,01 QUEENS,Borough-QUEENS
9/7/16,Clear Water With Other Particles (Use Comments) (QEZ),11221,City-BROOKLYN,03 BROOKLYN,Borough-BROOKLYN
2/26/12,Cloudy Or Milky Water (QB1),10025,City-NEW YORK,07 MANHATTAN,Borough-MANHATTAN
2/29/12,Other Water Problem (Use Comments) (QZZ),11413,City-Springfield Gardens,13 QUEENS,Borough-QUEENS
7/27/16,Taste/Odor: Chemical (QA2),10312,City-STATEN ISLAND,03 STATEN ISLAND,Borough-STATEN ISLAND
12/24/10,Cloudy Or Milky Water (QB1),11238,City-BROOKLYN,02 BROOKLYN,Borough-BROOKLYN
6/4/10,Taste/Odor: Bitter/Metallic (QA3),10019,City-NEW YORK,04 MANHATTAN,Borough-MANHATTAN
4/26/11,Taste/Odor: Bitter/Metallic (QA3),11201,City-BROOKLYN,02 BROOKLYN,Borough-BROOKLYN
6/6/10,Clear Water With Other Particles (Use Comments) (QEZ),11367,City-Flushing,08 QUEENS,Borough-QUEENS
12/26/11,Taste/Odor: Musty/Stale (QA4),11235,City-BROOKLYN,13 BROOKLYN,Borough-BROOKLYN
12/29/11,Taste/Odor: Chemical (QA2),11379,City-Middle Village,05 QUEENS,Borough-QUEENS
1/3/12,Taste/Odor: Chlorine (QA1),10314,City-STATEN ISLAND,02 STATEN ISLAND,Borough-STATEN ISLAND
1/11/12,Cloudy Or Milky Water (QB1),10458,City-BRONX,07 BRONX,Borough-BRONX
1/22/12,Other Water Problem (Use Comments) (QZZ),11360,City-Bayside,07 QUEENS,Borough-QUEENS
1/28/12,Taste/Odor: Chlorine (QA1),10312,City-STATEN ISLAND,03 STATEN ISLAND,Borough-STATEN ISLAND
1/29/12,Taste/Odor: Chemical (QA2),11422,City-Rosedale,13 QUEENS,Borough-QUEENS
1/30/12,Taste/Odor: Chlorine (QA1),11224,City-BROOKLYN,13 BROOKLYN,Borough-BROOKLYN
7/29/10,Taste/Odor: Chemical (QA2),11377,City-Woodside,02 QUEENS,Borough-QUEENS
8/2/10,Taste/Odor: Musty/Stale (QA4),10128,City-NEW YORK,08 MANHATTAN,Borough-MANHATTAN
8/2/10,Other Water Problem (Use Comments) (QZZ),10308,City-STATEN ISLAND,03 STATEN ISLAND,Borough-STATEN ISLAND
8/3/10,Taste/Odor: Chemical (QA2),10312,City-STATEN ISLAND,03 STATEN ISLAND,Borough-STATEN ISLAND
8/4/10,Taste/Odor: Musty/Stale (QA4),11204,City-BROOKLYN,11 BROOKLYN,Borough-BROOKLYN
5/10/12,Taste/Odor: Chlorine (QA1),11230,City-BROOKLYN,14 BROOKLYN,Borough-BROOKLYN
5/14/12,Cloudy Or Milky Water (QB1),10003,City-NEW YORK,02 MANHATTAN,Borough-MANHATTAN
5/17/12,unknown odor/taste in drinking water (QA6),10306,City-STATEN ISLAND,03 STATEN ISLAND,Borough-STATEN ISLAND
5/19/12,unknown odor/taste in drinking water (QA6),11222,City-BROOKLYN,01 BROOKLYN,Borough-BROOKLYN
5/19/12,Taste/Odor: Chlorine (QA1),10013,City-NEW YORK,02 MANHATTAN,Borough-MANHATTAN
8/14/10,Taste/Odor: Chlorine (QA1),11215,City-BROOKLYN,07 BROOKLYN,Borough-BROOKLYN
5/26/12,Other Water Problem (Use Comments) (QZZ),10023,City-NEW YORK,07 MANHATTAN,Borough-MANHATTAN
5/26/12,Taste/Odor: Bitter/Metallic (QA3),11204,City-BROOKLYN,11 BROOKLYN,Borough-BROOKLYN
5/27/12,Cloudy Or Milky Water (QB1),10463,City-BRONX,08 BRONX,Borough-BRONX
3/7/12,Taste/Odor: Sewer (QA5),11385,City-Ridgewood,05 QUEENS,Borough-QUEENS
3/15/12,Taste/Odor: Sewer (QA5),10466,City-BRONX,12 BRONX,Borough-BRONX
3/17/12,Cloudy Or Milky Water (QB1),11229,City-BROOKLYN,15 BROOKLYN,Borough-BROOKLYN
3/19/12,Taste/Odor: Chlorine (QA1),11378,City-Maspeth,05 QUEENS,Borough-QUEENS
3/26/12,Taste/Odor: Chemical (QA2),11215,City-BROOKLYN,06 BROOKLYN,Borough-BROOKLYN
4/12/12,Cloudy Or Milky Water (QB1),11005,City-Floral Park,13 QUEENS,Borough-QUEENS
4/16/12,Defective Water Sampling Station (QSS),10012,City-NEW YORK,Unspecified MANHATTAN,Borough-MANHATTAN
8/10/12,Taste/Odor: Sewer (QA5),10028,City-NEW YORK,08 MANHATTAN,Borough-MANHATTAN
6/7/12,unknown odor/taste in drinking water (QA6),11385,City-Ridgewood,05 QUEENS,Borough-QUEENS
9/1/10,Cloudy Or Milky Water (QB1),11374,City-Rego Park,06 QUEENS,Borough-QUEENS
10/5/16,Clear Water With Other Particles (Use Comments) (QEZ),11249,City-BROOKLYN,01 BROOKLYN,Borough-BROOKLYN
6/13/12,Cloudy Or Milky Water (QB1),11220,City-BROOKLYN,12 BROOKLYN,Borough-BROOKLYN
6/13/12,Cloudy Or Milky Water (QB1),11005,City-Floral Park,13 QUEENS,Borough-QUEENS
9/4/10,Taste/Odor: Chemical (QA2),11206,City-BROOKLYN,01 BROOKLYN,Borough-BROOKLYN
6/18/12,Cloudy Or Milky Water (QB1),10035,City-NEW YORK,10 MANHATTAN,Borough-MANHATTAN
6/20/12,Taste/Odor: Chlorine (QA1),10452,City-BRONX,04 BRONX,Borough-BRONX
9/13/10,Defective Water Sampling Station (QSS),10017,City-NEW YORK,Unspecified MANHATTAN,Borough-MANHATTAN
9/17/10,Taste/Odor: Bitter/Metallic (QA3),11230,City-BROOKLYN,14 BROOKLYN,Borough-BROOKLYN
7/24/12,Taste/Odor: Musty/Stale (QA4),11233,City-BROOKLYN,16 BROOKLYN,Borough-BROOKLYN
8/31/16,Taste/Odor: Chemical (QA2),10010,City-NEW YORK,05 MANHATTAN,Borough-MANHATTAN
8/3/12,Cloudy Or Milky: Other (Use Comments) (QBZ),11368,City-Corona,04 QUEENS,Borough-QUEENS
10/3/12,Taste/Odor: Sewer (QA5),11211,City-BROOKLYN,01 BROOKLYN,Borough-BROOKLYN
10/5/12,Taste/Odor: Bitter/Metallic (QA3),10014,City-NEW YORK,02 MANHATTAN,Borough-MANHATTAN
10/9/12,Taste/Odor: Chlorine (QA1),11375,City-Forest Hills,06 QUEENS,Borough-QUEENS
10/11/12,Taste/Odor: Chemical (QA2),11212,City-BROOKLYN,16 BROOKLYN,Borough-BROOKLYN
11/14/10,Taste/Odor: Sewer (QA5),11417,City-Ozone Park,10 QUEENS,Borough-QUEENS
11/15/10,Taste/Odor: Chemical (QA2),11214,City-BROOKLYN,13 BROOKLYN,Borough-BROOKLYN
10/22/12,Taste/Odor: Chlorine (QA1),11357,City-Whitestone,07 QUEENS,Borough-QUEENS
8/28/16,Taste/Odor: Musty/Stale (QA4),11420,City-South Ozone Park,10 QUEENS,Borough-QUEENS
8/14/12,Taste/Odor: Musty/Stale (QA4),11368,City-Corona,03 QUEENS,Borough-QUEENS
8/14/12,Taste/Odor: Sewer (QA5),10461,City-BRONX,10 BRONX,Borough-BRONX
8/14/12,Other Water Problem (Use Comments) (QZZ),10308,City-STATEN ISLAND,03 STATEN ISLAND,Borough-STATEN ISLAND
12/11/10,Cloudy Or Milky Water (QB1),11418,City-Richmond Hill,09 QUEENS,Borough-QUEENS
7/18/16,Other Water Problem (Use Comments) (QZZ),10467,City-BRONX,12 BRONX,Borough-BRONX
7/20/16,unknown odor/taste in drinking water (QA6),11234,City-BROOKLYN,18 BROOKLYN,Borough-BROOKLYN
9/11/12,No Sampling Required: Requested Information (QG2),10025,City-NEW YORK,07 MANHATTAN,Borough-MANHATTAN
7/27/16,Taste/Odor: Chemical (QA2),10003,City-NEW YORK,03 MANHATTAN,Borough-MANHATTAN
9/12/12,Cloudy Or Milky: Other (Use Comments) (QBZ),10280,City-NEW YORK,01 MANHATTAN,Borough-MANHATTAN
9/13/12,Cloudy Or Milky Water (QB1),10464,City-BRONX,10 BRONX,Borough-BRONX
9/14/12,unknown odor/taste in drinking water (QA6),11385,City-Ridgewood,05 QUEENS,Borough-QUEENS
8/2/16,Taste/Odor: Bitter/Metallic (QA3),10475,City-BRONX,10 BRONX,Borough-BRONX
8/3/16,Clear Water With Organisms (Insects: Worms) (QE2),10467,City-BRONX,07 BRONX,Borough-BRONX
10/20/10,Taste/Odor: Chlorine (QA1),10021,City-NEW YORK,08 MANHATTAN,Borough-MANHATTAN
9/19/12,Taste/Odor: Chlorine (QA1),11214,City-BROOKLYN,11 BROOKLYN,Borough-BROOKLYN
9/19/12,Taste/Odor: Musty/Stale (QA4),11103,City-Astoria,01 QUEENS,Borough-QUEENS
9/21/12,Taste/Odor: Chemical (QA2),11361,City-Bayside,11 QUEENS,Borough-QUEENS
10/23/10,Taste/Odor: Chemical (QA2),10022,City-NEW YORK,08 MANHATTAN,Borough-MANHATTAN
11/3/12,Taste/Odor: Chemical (QA2),11222,City-BROOKLYN,01 BROOKLYN,Borough-BROOKLYN
11/13/12,Taste/Odor: Sewer (QA5),11378,City-Maspeth,02 QUEENS,Borough-QUEENS
11/16/12,No Sampling Required: Requested Information (QG2),11693,City-Far Rockaway,14 QUEENS,Borough-QUEENS
11/23/12,No Sampling Required: Requested Information (QG2),11694,City-Rockaway Park,14 QUEENS,Borough-QUEENS
11/25/12,Taste/Odor: Chlorine (QA1),11375,City-Forest Hills,06 QUEENS,Borough-QUEENS
11/27/12,Taste/Odor: Bitter/Metallic (QA3),10009,City-NEW YORK,03 MANHATTAN,Borough-MANHATTAN
12/3/12,No Sampling Required: Requested Information (QG2),11694,City-Rockaway Park,14 QUEENS,Borough-QUEENS
12/11/12,Taste/Odor: Chemical (QA2),10012,City-NEW YORK,02 MANHATTAN,Borough-MANHATTAN
12/12/12,Taste/Odor: Chemical (QA2),11433,City-Jamaica,12 QUEENS,Borough-QUEENS
12/16/12,Cloudy Or Milky: Other (Use Comments) (QBZ),11215,City-BROOKLYN,07 BROOKLYN,Borough-BROOKLYN
12/21/12,Taste/Odor: Musty/Stale (QA4),11428,City-Queens Village,13 QUEENS,Borough-QUEENS
12/22/12,Taste/Odor: Chemical (QA2),10466,City-BRONX,12 BRONX,Borough-BRONX
1/3/13,Taste/Odor: Bitter/Metallic (QA3),10029,City-NEW YORK,11 MANHATTAN,Borough-MANHATTAN
1/5/13,Taste/Odor: Bitter/Metallic (QA3),11236,City-BROOKLYN,18 BROOKLYN,Borough-BROOKLYN
1/10/13,Taste/Odor: Sewer (QA5),11234,City-BROOKLYN,18 BROOKLYN,Borough-BROOKLYN
1/21/13,Taste/Odor: Musty/Stale (QA4),10128,City-NEW YORK,08 MANHATTAN,Borough-MANHATTAN
2/4/13,Taste/Odor: Chemical (QA2),10306,City-STATEN ISLAND,03 STATEN ISLAND,Borough-STATEN ISLAND
4/2/13,Taste/Odor: Chemical (QA2),10025,City-NEW YORK,07 MANHATTAN,Borough-MANHATTAN
4/15/13,Cloudy Or Milky Water (QB1),10029,City-NEW YORK,11 MANHATTAN,Borough-MANHATTAN
4/16/13,Defective Water Sampling Station (QSS),10302,City-STATEN ISLAND,01 STATEN ISLAND,Borough-STATEN ISLAND
4/19/13,Cloudy Or Milky: Other (Use Comments) (QBZ),11435,City-Jamaica,12 QUEENS,Borough-QUEENS
4/28/13,Taste/Odor: Sewer (QA5),10306,City-STATEN ISLAND,03 STATEN ISLAND,Borough-STATEN ISLAND
4/29/13,No Sampling Required: Requested Information (QG2),11234,City-BROOKLYN,18 BROOKLYN,Borough-BROOKLYN
4/30/13,Clear Water With Other Particles (Use Comments) (QEZ),11230,City-BROOKLYN,12 BROOKLYN,Borough-BROOKLYN
8/31/16,Taste/Odor: Sewer (QA5),10453,City-BRONX,05 BRONX,Borough-BRONX
9/4/16,Taste/Odor: Musty/Stale (QA4),11215,City-BROOKLYN,06 BROOKLYN,Borough-BROOKLYN
5/7/13,Clear Water With Other Particles (Use Comments) (QEZ),11413,City-Springfield Gardens,13 QUEENS,Borough-QUEENS
5/7/13,No Sampling Required: Requested Information (QG2),10469,City-BRONX,12 BRONX,Borough-BRONX
9/18/16,Clear Water With Other Particles (Use Comments) (QEZ),11235,City-BROOKLYN,15 BROOKLYN,Borough-BROOKLYN
2/18/13,Clear Water With Other Particles (Use Comments) (QEZ),10011,City-NEW YORK,04 MANHATTAN,Borough-MANHATTAN
2/19/13,Cloudy Or Milky Water (QB1),11225,City-BROOKLYN,09 BROOKLYN,Borough-BROOKLYN
2/19/13,Taste/Odor: Bitter/Metallic (QA3),10029,City-NEW YORK,11 MANHATTAN,Borough-MANHATTAN
9/26/16,Taste/Odor: Chlorine (QA1),11420,City-South Ozone Park,10 QUEENS,Borough-QUEENS
2/24/13,Taste/Odor: Musty/Stale (QA4),10460,City-BRONX,06 BRONX,Borough-BRONX
9/23/16,Taste/Odor: Sewer (QA5),11204,City-BROOKLYN,12 BROOKLYN,Borough-BROOKLYN
3/10/13,No Sampling Required: Requested Information (QG2),10009,City-NEW YORK,03 MANHATTAN,Borough-MANHATTAN
3/12/13,Taste/Odor: Bitter/Metallic (QA3),10014,City-NEW YORK,02 MANHATTAN,Borough-MANHATTAN
3/13/13,Taste/Odor: Chlorine (QA1),11357,City-Whitestone,07 QUEENS,Borough-QUEENS
3/15/13,Taste/Odor: Chlorine (QA1),11214,City-BROOKLYN,13 BROOKLYN,Borough-BROOKLYN
3/15/13,Oil: Grease In Water (QD1),10026,City-NEW YORK,10 MANHATTAN,Borough-MANHATTAN
3/16/13,Taste/Odor: Chemical (QA2),11106,City-Astoria,01 QUEENS,Borough-QUEENS
3/18/13,Cloudy Or Milky Water (QB1),10002,City-NEW YORK,03 MANHATTAN,Borough-MANHATTAN
3/20/13,No Sampling Required: Requested Information (QG2),10128,City-NEW YORK,08 MANHATTAN,Borough-MANHATTAN
3/22/13,Taste/Odor: Sewer (QA5),11413,City-Springfield Gardens,13 QUEENS,Borough-QUEENS
